Incident.Date,State,CityCounty,Address,Killed,Injured
27-Nov-15,Montana,Missoula,8000 block of Pheasant Drive,0,0
27-Nov-15,Montana,Laurel,1500 block of Red and King Gulch Road,0,0
26-Nov-15,Montana,Bonner,Highway 200,0,1
26-Nov-15,Montana,Townsend,N/A,0,0
15-Nov-15,Montana,Bigfork,Electric Avenue,0,0
14-Nov-15,Montana,Billings,1132 N. 26th Street,1,1
13-Nov-15,Montana,Cascade (county),Paul Creek Lane,0,1
10-Nov-15,Montana,Beaverhead (county),Interstate 15,1,0
5-Nov-15,Montana,Missoula,W. Broadway,0,0
3-Nov-15,Montana,Butte,Fish Creek Rd,1,2
3-Nov-15,Montana,Crow Agency,N/A,0,1
29-Oct-15,Montana,Billings,611 N. 24th Street,1,0
27-Oct-15,Montana,Missoula,5225 U.S. Highway 10 West,0,0
27-Oct-15,Montana,Kalispell,4170 E Highway 2 East,0,0
25-Oct-15,Montana,Anaconda,23 Main Street,0,0
22-Oct-15,Montana,Billings,505 S. Billings Boulevard,0,1
21-Oct-15,Montana,Victor,N/A,0,0
20-Oct-15,Montana,Bigfork,Wolf Creek Drive,0,0
17-Oct-15,Montana,Great Falls,6200 block of 2nd Avenue N.,0,1
16-Oct-15,Montana,Billings,2316 6th Ave N,1,0
14-Oct-15,Montana,Florence,Plant Creek Road,0,0
10-Oct-15,Montana,Billings,Road 5,0,0
10-Oct-15,Montana,Billings,3700 block of Grecian Way,1,0
9-Oct-15,Montana,Lame Deer,N/A,0,0
8-Oct-15,Montana,Great Falls,400 block of 13th Street South,0,1
7-Oct-15,Montana,Great Falls,N/A,0,0
4-Oct-15,Montana,Helena,Prospect Avenue,0,0
3-Oct-15,Montana,Flathead (county),N/A,0,2
29-Sep-15,Montana,Billings,N/A,0,0
28-Sep-15,Montana,Butte,1000 block of Missoula Avenue,0,0
22-Sep-15,Montana,Yellowstone (county),Alkali Creek Road,1,0
20-Sep-15,Montana,Lincoln,900 block of 3rd Street,0,0
19-Sep-15,Montana,Billings,2800 block of 2nd Avenue N.,0,0
17-Sep-15,Montana,Kalispell,4170 US 2,0,0
14-Sep-15,Montana,Kalispell (Evergreen),1212 U.S. Highway 2 E.,0,0
9-Sep-15,Montana,Butte,600 block of South Dakota Street,0,0
8-Sep-15,Montana,Eureka,N/A,0,0
7-Sep-15,Montana,Belgrade,850 Gallatin Field Rd,0,0
6-Sep-15,Montana,Great Falls,N/A,1,0
5-Sep-15,Montana,Missoula,100 block of West Main Street,0,0
30-Aug-15,Montana,Butte,818 S. Arizona St,0,0
24-Aug-15,Montana,Lodge Grass,Tate Avenue and S. Main Street,0,0
22-Aug-15,Montana,Missoula,N/A,0,0
19-Aug-15,Montana,Missoula,5225 U.S. Highway 10 West,0,0
18-Aug-15,Montana,Billings,1901 Terminal Cir,0,0
11-Aug-15,Montana,Kalispell,4170 Highway 2 East,0,0
10-Aug-15,Montana,Missoula,800 block of Stoddard Street,0,0
7-Aug-15,Montana,Superior,Pennsylvania Avenue,1,0
3-Aug-15,Montana,Lakeside,N/A,0,0
2-Aug-15,Montana,Belgrade,850 Gallatin Field Rd,0,0
30-Jul-15,Montana,Butte,1000 East Front Street,0,0
29-Jul-15,Montana,Pryor,Pryor Gap Road,2,1
27-Jul-15,Montana,Laurel,N/A,0,0
23-Jul-15,Montana,Missoula,5225 U.S. Highway 10 West,0,0
20-Jul-15,Montana,Butte,1000 block of South Colorado Street,0,1
20-Jul-15,Montana,Ballantine,Thunderstick Road,1,0
19-Jul-15,Montana,Billings,Danube Street,0,0
18-Jul-15,Montana,Billings,Lake Elmo Drive,0,1
18-Jul-15,Montana,Billings,600 block of Ironwood Drive,0,0
16-Jul-15,Montana,Laurel,N/A,0,0
9-Jul-15,Montana,Sanders (county),N/A,1,0
8-Jul-15,Montana,Bozeman,N/A,0,1
27-Jun-15,Montana,Saint Marie,308B Willow,1,0
24-Jun-15,Montana,Hot Springs,Little Bitterroot Rd,1,0
16-Jun-15,Montana,Bozeman,612 Nikles Drive,0,0
14-Jun-15,Montana,Marion,266 Pleasant Valley Road,0,2
13-Jun-15,Montana,Billings,7800 Shorey Road,0,0
11-Jun-15,Montana,Shelby,N/A,0,1
8-Jun-15,Montana,Kalispell,4170 Highway 2 East,0,0
7-Jun-15,Montana,Deer Lodge,Boulder Creek Road,5,0
5-Jun-15,Montana,Missoula,MT 200,1,1
4-Jun-15,Montana,Victor,North Fourth Street,0,0
1-Jun-15,Montana,Billings,N/A,0,0
25-May-15,Montana,Butte,N/A,0,0
25-May-15,Montana,Butte,Jackson Street,0,0
24-May-15,Montana,Frazer,N/A,1,1
23-May-15,Montana,Blaine (county),Highway 2 and Elloam Road,0,0
22-May-15,Montana,Belgrade,850 Gallatin Field Rd,0,0
20-May-15,Montana,Billings,1211 Broadwater Avenue,0,0
17-May-15,Montana,Missoula,100 block of W. Custer Avenue,0,0
17-May-15,Montana,Billings,215 Alderson Avenue,1,0
16-May-15,Montana,Billings,N/A,0,0
15-May-15,Montana,Beaverhead (county),N/A,0,1
15-May-15,Montana,Helena,N/A,0,0
12-May-15,Montana,Billings,N/A,0,0
9-May-15,Montana,Hamilton,Second and State Street,0,1
7-May-15,Montana,Billings,N/A,0,0
6-May-15,Montana,Missoula,314 Brooks Street,3,0
3-May-15,Montana,Billings,1600 block of Grand Avenue,0,0
28-Apr-15,Montana,Billings,833 Lake Elmo Drive,1,0
27-Apr-15,Montana,Billings,N/A,0,0
24-Apr-15,Montana,Butte,155 West Quartz Street,0,0
22-Apr-15,Montana,Great Falls,Park Garden Road,0,0
17-Apr-15,Montana,Polson,N/A,0,3
16-Apr-15,Montana,Billings,1901 Terminal Circle,0,0
15-Apr-15,Montana,Eureka,N/A,0,2
15-Apr-15,Montana,Great Falls,2800 Terminal Drive,0,0
12-Apr-15,Montana,Missoula,5225 U.S. Highway 10 West,0,0
9-Apr-15,Montana,Butte,100 block of North Parkmont,0,0
9-Apr-15,Montana,Yellowstone County,Interstate 90,1,0
6-Apr-15,Montana,Kalispell,4170 Hwy 2 E,0,0
4-Apr-15,Montana,Missoula County,U.S. Highway 93,0,0
1-Apr-15,Montana,Billings,Miles Avenue and 15th Street West,0,1
26-Mar-15,Montana,Bozeman,South 31st Street,0,0
25-Mar-15,Montana,Livingston,N/A,0,0
24-Mar-15,Montana,Bozeman,Jackrabbit Lane and Huffine Lane,0,0
22-Mar-15,Montana,Billings,3400 block of Cherylon Street,1,0
21-Mar-15,Montana,Butte,N/A,0,1
7-May-18,North Carolina,Salisbury,6080 Bringle Ferry Rd,0,0
7-May-18,North Carolina,Winston Salem (Winston-salem),2051 Saponi Village Ct,2,0
7-May-18,North Carolina,Shelby,Suttle St,0,0
6-May-18,North Carolina,Durham,Canal St,0,2
6-May-18,North Carolina,Durham,1000 block of Stadium Drive,1,0
5-May-18,North Carolina,Benson,1300 block of Chicopee Rd,0,1
5-May-18,North Carolina,Goldsboro,S Pine St,0,1
5-May-18,North Carolina,Sanford,2218 Dalrymple St,1,1
4-May-18,North Carolina,Charlotte,Mallard Creek Rd,0,0
4-May-18,North Carolina,Lincolnton,New Bold St,1,0
4-May-18,North Carolina,Mount Holly,NC-273,0,0
4-May-18,North Carolina,Dunn,I-95,0,0
3-May-18,North Carolina,Burlington,1000 block of Elwood St,0,1
3-May-18,North Carolina,Spring Lake,300 Block of Ruth St,0,1
3-May-18,North Carolina,High Point (Archdale),Boulder Rd,0,0
3-May-18,North Carolina,Salisbury,200 block of Dan St,0,0
3-May-18,North Carolina,Elizabeth City,Cedar St and Holley St,1,0
3-May-18,North Carolina,Durham,400 block of Canal St,1,1
2-May-18,North Carolina,Wilson,1700 block of Stantonsburg Road,0,1
2-May-18,North Carolina,Greensboro,2101 Finley St,2,0
2-May-18,North Carolina,Charlotte,5731 South Blvd,0,1
2-May-18,North Carolina,Liberty,8036 Oak Grove Church Road,1,0
1-May-18,North Carolina,Durham,Willard St and Jackson St,0,1
1-May-18,North Carolina,Collettsville,4690 Collettsvile School Dr,0,0
1-May-18,North Carolina,Spring Lake,600 block of Mont Dr,1,0
1-May-18,North Carolina,Franklin,N/A,0,0
1-May-18,North Carolina,Charlotte,Old Pineville Road,0,1
1-May-18,North Carolina,Charlotte,S Tryon St and Thornfield Rd,0,1
1-May-18,North Carolina,Laurinburg,1420 S Main St,0,0
1-May-18,North Carolina,Salisbury,Ackert Ave,1,0
1-May-18,North Carolina,Andrews,Bryson Branch Rd,0,1
30-Apr-18,North Carolina,Tabor City,Smith Ave,0,0
30-Apr-18,North Carolina,High Point,900 block of Newlin Pl,0,1
30-Apr-18,North Carolina,Wilson,1600 block of Snowden Dr,0,1
29-Apr-18,North Carolina,Winston Salem (Winston-salem),100 block of Kellum Pl,0,1
29-Apr-18,North Carolina,Tarboro,600 block of Howard Avenue,0,0
29-Apr-18,North Carolina,Monroe,1500 block of Massey St,1,3
29-Apr-18,North Carolina,Salisbury,400 Block of Grace St,0,0
29-Apr-18,North Carolina,Salisbury,300 Block of W C Ave,0,0
29-Apr-18,North Carolina,Burlington,600 block of Tracey Dr,0,0
29-Apr-18,North Carolina,Lumber Bridge,Shannon Rd and Old Wire Rd,1,1
29-Apr-18,North Carolina,Franklin,164 Pheasant Dr,1,0
28-Apr-18,North Carolina,Mooresville,160 block of Timberland Loop,0,0
28-Apr-18,North Carolina,Rockwell,400 block of Geneva Dr,0,0
28-Apr-18,North Carolina,Maxton,Modest Rd,0,5
28-Apr-18,North Carolina,Greensboro,2410 E Market St,0,1
28-Apr-18,North Carolina,Hendersonville,3345 Haywood Rd,0,0
28-Apr-18,North Carolina,Goldsboro,Minnie Dr,0,0
28-Apr-18,North Carolina,Winston Salem (Winston-salem),760 Ferrell Ct,0,1
28-Apr-18,North Carolina,Charlotte,2800 block of Baltimore Ave,0,1
28-Apr-18,North Carolina,Jacksonville,Woodleaf Dr,0,1
28-Apr-18,North Carolina,Jacksonville,N/A,0,0
28-Apr-18,North Carolina,Red Springs,Middle St,0,0
27-Apr-18,North Carolina,Wilmington,111 Darlington Ave,0,1
27-Apr-18,North Carolina,Greensboro,2107 Pyramid Village Blvd,0,1
27-Apr-18,North Carolina,Lumberton,N/A,0,1
27-Apr-18,North Carolina,Gastonia,W 5th Ave,0,1
27-Apr-18,North Carolina,Kinston,Lyle Rd,0,0
27-Apr-18,North Carolina,Albemarle,Clover Ln,1,0
27-Apr-18,North Carolina,Rocky Mount,N/A,0,0
27-Apr-18,North Carolina,Granite Falls (Sawmills),5200 block of Cannon Dr,0,1
27-Apr-18,North Carolina,Jefferson,6 3rd Ave,0,3
26-Apr-18,North Carolina,Wendell,Luster Leaf Place,0,1
26-Apr-18,North Carolina,Kings Mountain,Charles St,0,1
26-Apr-18,North Carolina,Raleigh,314 S. Blount Street,0,1
26-Apr-18,North Carolina,Fayetteville,6500 block of St Louis St,1,1
26-Apr-18,North Carolina,Bolivia,Evans Dr,0,0
26-Apr-18,North Carolina,Durham,1908 Torredge Rd,1,0
26-Apr-18,North Carolina,Greensboro,1300 block of W Market St,0,1
26-Apr-18,North Carolina,Winston Salem (Winston-salem),S Broad St,0,0
26-Apr-18,North Carolina,Kinston,200 block of E Daniels St,0,1
25-Apr-18,North Carolina,Greensboro,N/A,0,1
25-Apr-18,North Carolina,Aberdeen,Fellowship Way,0,0
25-Apr-18,North Carolina,Fayetteville,2101 Cedar Creek Road,0,1
25-Apr-18,North Carolina,Thomasville,1019 Ensley St,0,1
25-Apr-18,North Carolina,Charlotte,3303 Latrobe Dr,0,0
25-Apr-18,North Carolina,Asheboro,Henson Rd,0,0
25-Apr-18,North Carolina,Cedar Grove,5100 block of Eno Cemetery Road,1,0
24-Apr-18,North Carolina,Sylva,Begonia Ln,0,1
